Date,Open,High,Low,Close,Volume
4/27/2021,83200,83300,82500,82900,12941533
4/28/2021,83200,83200,82100,82100,15596759
4/29/2021,82400,82500,81500,81700,20000973
4/30/2021,81900,82100,81500,81500,18673197
05/3/2021,81000,82400,81000,81700,15710336
05/4/2021,81900,82600,81800,82600,12532550
05/6/2021,81700,82300,81700,82300,17047511
05/7/2021,81800,82100,81500,81900,14154882
05/10/2021,82300,83500,81800,83200,19385027
05/11/2021,82500,82600,81100,81200,28996680
05/12/2021,80800,81200,79800,80000,35812268
5/13/2021,78900,79600,78400,78500,31490096
5/14/2021,79000,80300,78900,80100,16450920
5/17/2021,80800,80900,79200,79600,17740855
5/18/2021,79600,80000,79100,79600,17494407
5/20/2021,79400,79700,79100,79500,16541828
5/21/2021,80100,81500,79800,80100,20961714
5/24/2021,80100,80400,79500,79700,13398666
5/25/2021,80000,80400,79800,79900,13628942
5/26/2021,80400,80500,79700,79800,11984359
5/27/2021,80000,80000,79100,79600,23198510
5/28/2021,79800,80400,79400,80100,12360199
5/31/2021,80300,80600,79600,80500,13321324
06/1/2021,80500,81300,80100,80600,14058401
06/2/2021,80400,81400,80300,80800,16414644
06/3/2021,81300,83000,81100,82800,29546007
06/4/2021,82700,82700,81500,82200,18112259
06/7/2021,82700,82800,81600,81900,16496197
06/8/2021,82300,82600,81800,81900,12781226
06/9/2021,81500,82000,81100,81100,14908823
06/10/2021,81300,81400,80900,81000,17586995
06/11/2021,81200,81700,80700,81000,14087962
6/14/2021,80800,80900,80500,80500,10550078
6/15/2021,80900,81200,80600,80900,10075685
6/16/2021,81500,81900,81100,81800,14999855
6/17/2021,81100,81300,80700,80900,14007385
6/18/2021,81100,81100,80500,80500,14916721
6/21/2021,79700,80000,79600,79900,16063340
6/22/2021,80200,80300,79900,80000,11773365
6/23/2021,80500,80600,79900,80100,13856548
6/24/2021,80400,81400,80100,81200,18771080
6/25/2021,81500,81900,81200,81600,13481405
6/28/2021,81700,82000,81600,81900,11578529
6/29/2021,81900,82100,80800,81000,15744317
6/30/2021,81100,81400,80700,80700,13288643
07/1/2021,80500,80600,80000,80100,13382882
07/2/2021,80000,80400,79900,80000,8753097
07/5/2021,80100,80800,80000,80400,8330969
07/6/2021,80600,81200,80500,81200,12131651
07/7/2021,81200,81300,80300,80800,15992202
